longitude,latitude,distance_to_nearest_streetlight,count_of_nearby_streetlight_500m_approx,distance_to_nearest_nightlifevenue,count_of_nearby_nightlifevenue_500m_approx,distance_to_nearest_transportstation,count_of_nearby_transportstation_500m_approx,distance_to_nearest_policestation,count_of_nearby_policestation_500m_approx,count_restaurant,count_bar,count_nightclub
77.2447696,28.5828391,0.0,42,0.001527635129867894,1,0.003632610785647522,5,0.00948330887401589,0,5,0,0
77.2439423,28.5823861,0.0,43,0.0024695169730132847,1,0.0031059896281220695,6,0.009883918419837203,0,7,0,0
77.2439294,28.5823442,0.0,43,0.00250237081584754,1,0.003064526868866705,6,0.009925580021841754,0,7,0,0
77.2441481,28.5825144,0.0,43,0.00222702954852144,1,0.0032348707578516733,6,0.009761697763196655,0,7,0,0
77.2447182,28.582853,0.0,42,0.0015639699805363022,1,0.0036362207372477506,5,0.009464135360929705,0,5,0,0
77.2436312,28.5823833,0.0,43,0.002741947266091369,1,0.0031279992391303555,6,0.009885813231090935,0,7,0,0
77.2417057,28.5830619,0.0,42,0.004392489307902425,1,0.001244824296838939,7,0.009432377020137162,0,8,0,0
77.2417081,28.5826721,0.0,42,0.004460080452193735,1,0.0014146719372349077,7,0.009812703218279144,0,8,0,0
77.2417007,28.582353,0.0,42,0.004548611859682846,2,0.0016047064840630752,7,0.010126482971891339,0,7,0,0
77.2413428,28.583367,0.0,42,0.0047234772128202426,1,0.0008265506457578334,7,0.009223141153101527,0,8,0,0
77.2407614,28.5837979,0.0,41,0.005297461472257463,0,0.0003756547350959412,6,0.008984836543867765,0,8,0,0
77.2404292,28.5831206,0.0,41,0.004895366627737858,1,0.0003310261167939314,6,0.009734542861893037,0,8,0,0
77.2403276,28.5831111,0.0,41,0.004847467236607917,1,0.0003799621560080344,6,0.009778647963803894,0,8,0,0
77.2402782,28.5833054,0.0,41,0.005010271371893025,0,0.0002757773195810753,6,0.009614706675190921,0,8,0,0
77.2396326,28.5834097,0.0,39,0.0049208197376030575,1,0.0004883865886755048,6,0.00977208877978774,0,8,0,0
